id,date,ticker,tweet,word_count_raw,clean_text,word_count_clean
100001,01/01/2020,AMZN,$AMZN Dow futures up by 100 points already 🥳,9,amzn dow futures up by points already,7
100002,01/01/2020,TSLA,$TSLA Daddy's drinkin' eArly tonight! Here's to a PT of ohhhhh $1000 in 2020! 🍻,15,tsla daddys drinkin early tonight heres to a pt of ohhhhh in,12
100003,01/01/2020,AAPL,$AAPL We’ll been riding since last December from $172.12 what to do. Decisions decisions hmm 🤔. I have 20 mins to decide. Any suggestions?,24,aapl well been riding since last december from what to do decisions decisions hmm i have mins to decide any suggestions,21
100004,01/01/2020,TSLA,"$TSLA happy new year, 2020, everyone🍷🎉🙏",6,tsla happy new year everyone,5
100005,01/01/2020,TSLA,"\"$TSLA haha just a collection of greats...\"\"Mars\"\" rofl 😈😎🌠⏫🔮💸👏💪🚀🎆🎇📣🎉🎊 *bork*\"",10,tsla haha just a collection of greatsmars rofl bork,9
100006,01/01/2020,TSLA,$TSLA NOBODY: Gas cars driven by humans killed 1000s upon 1000s in 2019.,13,tsla nobody gas cars driven by humans killed s upon s in,12
100007,02/01/2020,AAPL,$AAPL $300 calls First trade of 2020 Congrats to all bulls 😈,12,aapl calls first trade of congrats to all bulls,9
100008,02/01/2020,AAPL,"$AAPL Remember, if you short every day, one of those days you will be right 😏",16,aapl remember if you short every day one of those days you will be right,15
100009,02/01/2020,AAPL,"$AAPL called it, the bear comment below makes me chuckle inside. So sweeet 😜",14,aapl called it the bear comment below makes me chuckle inside so sweeet,13
100010,02/01/2020,HD,$HD Bought more at today's low. She is turning. Stars aligned.🤞,11,hd bought more at todays low she is turning stars aligned,11
100011,02/01/2020,AAPL,Apple is taking things UP in 2020 🚀🚀 $AAPL,9,apple is taking things up in aapl,7
100012,02/01/2020,AAPL,$AAPL not a bad day wish I wouldnt have sold those 20 300 calls on monday. Still took a decent profit for next week calls though 🤑🤑,27,aapl not a bad day wish i wouldnt have sold those calls on monday still took a decent profit for next week calls though,24
100013,02/01/2020,AAPL,$AAPL where are all the peeps posting bearish since $200🤣,10,aapl where are all the peeps posting bearish since,9
100014,03/01/2020,NVDA,$NVDA This should be at least 300 already 🤔💹💸💸,9,nvda this should be at least already,7
100015,03/01/2020,AAPL,$AAPL tomorrow buy time on the dip then green 🐋🏛💰,10,aapl tomorrow buy time on the dip then green,9
100016,03/01/2020,AAPL,$AAPL Thanks for that dip. Let the bears talk their gibberish and ignore it. 😆,15,aapl thanks for that dip let the bears talk their gibberish and ignore it,14
100017,03/01/2020,AAPL,$AAPL leave enough red to buy calls at open 🙏,10,aapl leave enough red to buy calls at open,9
100018,03/01/2020,AAPL,$AAPL short this bears 🖕🖕🖕. Never go against Apple.,9,aapl short this bears never go against apple,8
100019,03/01/2020,TSLA,$TSLA  I must rise to a level where winning does not elate  me and losing does not deflate me. But it's not going to happen today.😊😊😊😊,28,tsla i must rise to a level where winning does not elate me and losing does not deflate me but its not going to happen today,26
100020,03/01/2020,TSLA,$TSLA shorts are f u c k e d 💣,10,tsla shorts are f u c k e d,9
100021,03/01/2020,TSLA,$TSLA Don’t short. It’s a Trap lol 😂 see you at 7% + up day,15,tsla dont short its a trap lol see you at up day,12
100022,03/01/2020,AMZN,$AMZN who ever shorted today will be deported from US if you are immigrants 😀,15,amzn who ever shorted today will be deported from us if you are immigrants,14
100023,03/01/2020,TSLA,$TSLA 🐻 not see anything like this with Tesla stock in the last 3 years. It'll be an EPIC year in 2020 when model Y roll out in summer.,29,tsla not see anything like this with tesla stock in the last years itll be an epic year in when model y roll out in summer,26
100024,03/01/2020,TSLA,$TSLA  can one hear the bear as it cries in the forest?😂😂😂,13,tsla can one hear the bear as it cries in the forest,12
100025,03/01/2020,TSLA,$TSLA Ignore the clowns and bears!  Marvelous opportunity awaits the longterm bulls!🤡🐻,13,tsla ignore the clowns and bears marvelous opportunity awaits the longterm bulls,12
100026,03/01/2020,GOOGL,$GOOGL good thing I loaded up on puts 🥱,9,googl good thing i loaded up on puts,8
100027,03/01/2020,AAPL,"$AAPL $1,000 by the end of January 😂",8,aapl by the end of january,6
100028,06/01/2020,AAPL,$AAPL it’s just too funny and easy to laugh at bears at this point. Why don’t you guys do something useful like find a good job so you can afford to buy Apple instead of just posting jealous hate and looking like a 🤡,44,aapl its just too funny and easy to laugh at bears at this point why dont you guys do something useful like find a good job so you can afford to buy apple instead of just posting jealous hate and looking like a,43
100029,06/01/2020,AAPL,"$AAPL once hits 300 today, needs another 100 points to reach 400 like that smart gentleman said on CNBC this am 👍🏽",22,aapl once hits today needs another points to reach like that smart gentleman said on cnbc this am,18
100030,06/01/2020,AMZN,$AMZN I hope we can come close to touching 2000 either tomorrow or Wednesday 😭,15,amzn i hope we can come close to touching either tomorrow or wednesday,13
100031,06/01/2020,TSLA,"$TSLA  Squeal like a pig, Chanos! Squeal like a pig!! 🐖",12,tsla squeal like a pig chanos squeal like a pig,10
100032,06/01/2020,NFLX,$NFLX 🔥🔥🔥✈️ 336 test to possibly test 340s tomorrow / ALL DAY mentions since open 😎⭐️,16,nflx test to possibly test s tomorrow all day mentions since open,12
100033,06/01/2020,TSLA,$TSLA shorts thought they are making a quick and easy bet.....hahhaha 🖕,12,tsla shorts thought they are making a quick and easy bethahhaha,11
100034,06/01/2020,TSLA,$TSLA if you had only listened bears... 🤦🏻‍♂️,8,tsla if you had only listened bears,7
100035,06/01/2020,TSLA,Once again $TSLA keeps roasting the shorts🔥📈,7,once again tsla keeps roasting the shorts,7
100036,07/01/2020,TSLA,$TSLA BUT BUTT WW3? 😢 Screw the sink this stock has had the whole house thrown at it and still goes up. You bears are real 🤡 s,28,tsla but butt ww screw the sink this stock has had the whole house thrown at it and still goes up you bears are real s,26
100037,07/01/2020,TSLA,$TSLA Congratulations to Elon and SpaceX for another successful drone ship landing. ...the man is in the zone!! 🚀,19,tsla congratulations to elon and spacex for another successful drone ship landing the man is in the zone,18
100038,07/01/2020,FB,"$FB Finally gapped up. Took a year and half to do it, but f’ck it feels good. Long and strong 💪🏼. Let’s keep this train moving. Still has some more to go before I’ll even consider selling my calls of any of my shares.",44,fb finally gapped up took a year and half to do it but fck it feels good long and strong lets keep this train moving still has some more to go before ill even consider selling my calls of any of my shares,43
100039,07/01/2020,TSLA,$TSLA these bears constantly post old a$$ pics of crashed Tesla’s hahahahaha. Have you not learned yet I’m pretty sure your account learned by now 😜🔥 🚀 Hope you readyyyy for what’s next 😉,34,tsla these bears constantly post old a pics of crashed teslas hahahahaha have you not learned yet im pretty sure your account learned by now hope you readyyyy for whats next,31
100040,07/01/2020,TSLA,$TSLA Top of the channel $485 believe it 💰,9,tsla top of the channel believe it,7
100041,07/01/2020,TSLA,$TSLA wow jpm with a whole $20 😂😂😂,8,tsla wow jpm with a whole,6
100042,07/01/2020,DIS,"$DIS Just keep falling, just keep falling, just keep falling falling falling. What does DIS do all month? Falling falling falling 😂",22,dis just keep falling just keep falling just keep falling falling falling what does dis do all month falling falling falling,21
100043,07/01/2020,AAPL,$AAPL Bears & Shorts Later Today 😂😂😂,7,aapl bears shorts later today,5
100044,07/01/2020,TSLA,$TSLA head fake w more short covering. 👑,8,tsla head fake w more short covering,7
100045,07/01/2020,BA,$BA  Stocks usually look bearish until they don’t lol. BA BA BOOM 🤯,14,ba stocks usually look bearish until they dont lol ba ba boom,12
100046,07/01/2020,WMT,I would of thought $WMT would have got hit a little harder with that 54.6 million dollar lawsuit they just lost for not paying their drivers. 😯,27,i would of thought wmt would have got hit a little harder with that million dollar lawsuit they just lost for not paying their drivers,25
100047,07/01/2020,TSLA,"$TSLA bears 🐻 I say, you really do have some good points, and you’re right this may pull back, but why would you get in front of this right now? Or over the last month? There’s other opportunities out there even for your hateful selves",45,tsla bears i say you really do have some good points and youre right this may pull back but why would you get in front of this right now or over the last month theres other opportunities out there even for your hateful selves,44
100048,07/01/2020,TSLA,$TSLA $470 by open tomorrow. Get your electric rocket ships ready we going to the moon 🔌🚀,17,tsla by open tomorrow get your electric rocket ships ready we going to the moon,15
100049,07/01/2020,TSLA,$TSLA have only 2000$ im not going far with this at this point 🤔,14,tsla have only im not going far with this at this point,12
100050,07/01/2020,TSLA,$TSLA man I can't wait till the day Tesla start paying out dividends... once that announcement happens the stock will explode before the Ex-date 💪💪🏿,25,tsla man i cant wait till the day tesla start paying out dividends once that announcement happens the stock will explode before the exdate,24
100051,07/01/2020,FB,$FB stop selling!! My $215 weekly calls are getting wrecked! 😒,11,fb stop selling my weekly calls are getting wrecked,9
100052,07/01/2020,TSLA,$TSLA should i do a search of all the “mark this post” from the bear shorts that have been fried the last month? 🤡,24,tsla should i do a search of all the mark this post from the bear shorts that have been fried the last month,23
100053,07/01/2020,AMZN,$AMZN CONGRATS TO ALL THE LONG - there were some trying times but our patience IS being rewarded- lots more to come 🙏🏽,23,amzn congrats to all the long there were some trying times but our patience is being rewarded lots more to come,21
100054,07/01/2020,TSLA,$TSLA we’ll it’s not &BYND mane it’s not too late to buy 🤦🏽‍♂️ just maybe,15,tsla well its not bynd mane its not too late to buy just maybe,14
100055,07/01/2020,TSLA,"$TSLA yep, especially put buyers and call chasers oof 😂😂😂🐷",10,tsla yep especially put buyers and call chasers oof,9
100056,07/01/2020,AAPL,$AAPL who is ready to open tomorrow  at $290. It’s time 🐷,13,aapl who is ready to open tomorrow at its time,10
100057,07/01/2020,AAPL,$AAPL Green by morning my ass!! Y’all should have taken profits 😂🤦🏻‍♂️👀🍎,12,aapl green by morning my ass yall should have taken profits,11
100058,08/01/2020,AAPL,$AAPL buy 300 call easy money 🤣🤣🤣🤣🤣🤣🤣🤣,7,aapl buy call easy money,5
100059,08/01/2020,AAPL,$AAPL maybe dan Ives at Wedbush can reimburse all you chasers for your losses. Or maybe not 😂😂,18,aapl maybe dan ives at wedbush can reimburse all you chasers for your losses or maybe not,17
100060,08/01/2020,TSLA,$TSLA another target raised to $556 wow. When the dust settles this will 🔥 🚀  😉,17,tsla another target raised to wow when the dust settles this will,12
100061,08/01/2020,TSLA,$TSLA if this takes a big dip tomorrow morning I’m closing all my hedges and rolling my $525k of sub $300 strike Jan 17 calls up to $400+ strike calls... bring it on 🐻,34,tsla if this takes a big dip tomorrow morning im closing all my hedges and rolling my k of sub strike jan calls up to strike calls bring it on,30
100062,08/01/2020,TSLA,$TSLA wow it's great to wake up to this! This is going to open at 475 and maybe hit 500 today!!! 😍🙃,22,tsla wow its great to wake up to this this is going to open at and maybe hit today,19
100063,08/01/2020,TSLA,"$TSLA Bullish AF to the mewn, but that 15 point bubble-pop drop last night was not a good feeling while holding calls 🤢🤮 *bork*",24,tsla bullish af to the mewn but that point bubblepop drop last night was not a good feeling while holding calls bork,22
100064,08/01/2020,DIS,"$DIS small piece of advice, if you’re long calls, turning them into spreads before close really helps reduce risk. Then you can close the short leg out in the morning, usually for a profit when things are starting to look bullish again 😁",43,dis small piece of advice if youre long calls turning them into spreads before close really helps reduce risk then you can close the short leg out in the morning usually for a profit when things are starting to look bullish again,42
